iter	PRAUC	Logloss
470	0.9591140383	0.2662743866
471	0.9592211239	0.2659362611
472	0.959304778	0.2656004197
473	0.959390702	0.2653814358
474	0.9594997551	0.2651426843
475	0.9595519079	0.2649649725
476	0.9596381706	0.2646565641
477	0.9596755186	0.2645625276
478	0.959776843	0.2643032286
479	0.9598983705	0.2640281451
480	0.9599960291	0.2637541319
481	0.9600931365	0.2634691583
482	0.9601965502	0.2632773455
483	0.9602709836	0.2629178788
484	0.9604344082	0.2625339323
485	0.9605309071	0.262323477
486	0.9606278693	0.2620781562
487	0.9607966067	0.2617354436
488	0.9608569415	0.2615025978
489	0.9609798282	0.2612833998
490	0.961109077	0.2610597123
491	0.9612148092	0.2607631303
492	0.9613017297	0.2605489731
493	0.9613785846	0.2602236496
494	0.9614793402	0.2600199822
495	0.9615440913	0.2598485477
496	0.9616023326	0.2596836005
497	0.9616770808	0.2594632239
498	0.9617732797	0.2591938512
499	0.9618337555	0.2590394675
